283
(415,-689)
(417,-694)
(418,-695)
(419,-694)
(419,-697)
(421,-699)
(424,-702)
(426,-705)
(427,-708)
(429,-710)
(430,-713)
(431,-716)
(432,-720)
(433,-723)
(434,-726)
(435,-729)
(437,-732)
(438,-735)
(439,-738)
(440,-740)
(441,-744)
(442,-747)
(443,-750)
(444,-749)
(445,-746)
(443,-742)
(446,-745)
(446,-748)
(447,-750)
(452,-746)
(452,-740)
(452,-738)
(453,-736)
(453,-734)
(454,-734)
(454,-732)
(456,-731)
(457,-735)
(455,-736)
(454,-738)
(453,-748)
(457,-750)
(459,-749)
(458,-751)
(457,-751)
(459,-752)
(462,-751)
(463,-748)
(466,-748)
(466,-747)
(467,-748)
(467,-749)
(464,-750)
(462,-753)
(461,-756)
(462,-757)
(462,-762)
(465,-767)
(468,-768)
(469,-766)
(469,-767)
(468,-769)
(468,-770)
(469,-772)
(472,-774)
(472,-775)
(474,-778)
(475,-775)
(476,-773)
(475,-769)
(478,-773)
(481,-774)
(483,-774)
(486,-773)
(486,-775)
(489,-776)
(490,-777)
(491,-779)
(495,-779)
(494,-780)
(494,-784)
(490,-790)
(493,-789)
(496,-790)
(500,-792)
(501,-793)
(505,-796)
(505,-797)
(507,-796)
(510,-797)
(510,-792)
(505,-788)
(504,-786)
(502,-784)
(502,-783)
(503,-782)
(504,-784)
(505,-783)
(505,-786)
(506,-788)
(507,-788)
(509,-786)
(510,-783)
(511,-783)
(511,-782)
(513,-781)
(513,-774)
(514,-772)
(515,-776)
(515,-775)
(521,-773)
(516,-776)
(516,-781)
(515,-783)
(516,-785)
(517,-783)
(519,-782)
(520,-783)
(517,-784)
(517,-785)
(519,-789)
(520,-789)
(519,-790)
(518,-788)
(517,-788)
(516,-786)
(515,-786)
(514,-788)
(511,-788)
(511,-789)
(520,-794)
(529,-794)
(531,-793)
(532,-792)
(530,-790)
(531,-779)
(532,-781)
(532,-788)
(533,-790)
(535,-787)
(536,-784)
(536,-785)
(535,-792)
(538,-794)
(537,-797)
(542,-798)
(542,-798)
(544,-796)
(545,-791)
(543,-788)
(543,-785)
(545,-784)
(546,-780)
(550,-779)
(551,-776)
(553,-778)
(557,-777)
(557,-775)
(556,-774)
(557,-773)
(557,-771)
(558,-768)
(561,-766)
(561,-765)
(564,-765)
(564,-762)
(565,-762)
(565,-761)
(571,-759)
(573,-759)
(573,-758)
(576,-757)
(576,-755)
(579,-755)
(580,-754)
(582,-754)
(582,-751)
(584,-751)
(585,-750)
(586,-751)
(589,-749)
(592,-750)
(592,-748)
(593,-747)
(596,-734)
(594,-733)
(593,-727)
(596,-714)
(600,-714)
(600,-711)
(600,-708)
(600,-705)
(600,-702)
(600,-699)
(600,-696)
(600,-692)
(600,-689)
(600,-685)
(600,-682)
(600,-679)
(600,-676)
(600,-673)
(598,-670)
(592,-669)
(591,-666)
(587,-661)
(584,-659)
(580,-658)
(579,-656)
(576,-655)
(575,-652)
(572,-652)
(571,-650)
(567,-650)
(565,-648)
(564,-649)
(563,-645)
(558,-639)
(556,-640)
(554,-640)
(551,-644)
(545,-644)
(544,-634)
(537,-636)
(529,-635)
(528,-634)
(524,-631)
(523,-630)
(521,-628)
(519,-628)
(517,-630)
(516,-635)
(513,-636)
(513,-637)
(509,-637)
(509,-638)
(504,-639)
(501,-642)
(499,-643)
(497,-643)
(496,-642)
(500,-641)
(500,-635)
(498,-634)
(500,-631)
(504,-626)
(509,-624)
(511,-619)
(509,-617)
(509,-615)
(509,-615)
(506,-616)
(502,-618)
(499,-617)
(496,-619)
(493,-618)
(491,-618)
(489,-621)
(488,-630)
(487,-632)
(483,-634)
(482,-636)
(466,-636)
(464,-641)
(456,-648)
(452,-652)
(450,-655)
(451,-656)
(445,-663)
(443,-666)
(437,-671)
(435,-671)
(433,-678)
(430,-679)
(429,-681)
(426,-680)
(424,-683)
(421,-683)
(418,-686)
(416,-685)
(416,-687)
(415,-688)
(415,-689)
